"","Year","Aruba","Africa.Eastern.and.Southern","Afghanistan","Africa.Western.and.Central","Angola","Albania","Andorra","Arab.World","United.Arab.Emirates","Argentina","Armenia","Antigua.and.Barbuda","Australia","Austria","Azerbaijan","Burundi","Belgium","Benin","Burkina.Faso","Bangladesh","Bulgaria","Bahrain","Bahamas..The","Bosnia.and.Herzegovina","Belarus","Belize","Bermuda","Bolivia","Brazil","Barbados","Brunei.Darussalam","Bhutan","Botswana","Central.African.Republic","Canada","Central.Europe.and.the.Baltics","Switzerland","Channel.Islands","Chile","China","Cote.d.Ivoire","Cameroon","Congo..Dem..Rep.","Congo..Rep.","Colombia","Comoros","Cabo.Verde","Costa.Rica","Caribbean.small.states","Cuba","Curacao","Cayman.Islands","Cyprus","Czechia","Germany","Djibouti","Dominica","Denmark","Dominican.Republic","Algeria","East.Asia...Pacific..excluding.high.income.","Early.demographic.dividend","East.Asia...Pacific","Europe...Central.Asia..excluding.high.income.","Europe...Central.Asia","Ecuador","Egypt..Arab.Rep.","Euro.area","Eritrea","Spain","Estonia","Ethiopia","European.Union","Fragile.and.conflict.affected.situations","Fiji","Faroe.Islands","Micronesia..Fed..Sts.","United.Kingdom","Georgia","Ghana","Guinea","Gambia..The","Guinea.Bissau","Equatorial.Guinea","Grenada","Greenland","Guatemala","Guam","Guyana","Hong.Kong.SAR..China","Honduras","Heavily.indebted.poor.countries..HIPC.","Croatia","Hungary","IBRD.only","IDA.total","IDA.blend","Indonesia","IDA.only","Isle.of.Man","Not.classified","Ireland","Iran..Islamic.Rep.","Iceland","Israel","Italy","Jamaica","Jordan","Japan","Kenya","Cambodia","Kiribati","St..Kitts.and.Nevis","Kuwait","Latin.America...Caribbean..excluding.high.income.","Lao.PDR","Lebanon","Liberia","Libya","St..Lucia","Least.developed.countries..UN.classification","Low.income","Sri.Lanka","Lower.middle.income","Low...middle.income","Lesotho","Lithuania","Luxembourg","Latvia","Macao.SAR..China","St..Martin..French.part.","Morocco","Monaco","Moldova","Maldives","Middle.East...North.Africa","Mexico","Middle.income","North.Macedonia","Mali","Malta","Myanmar","Montenegro","Mongolia","Northern.Mariana.Islands","Mozambique","Mauritania","Malawi","Malaysia","North.America","Namibia","Niger","Nigeria","Nicaragua","Netherlands","Nepal","Nauru","New.Zealand","OECD.members","Oman","Other.small.states","Panama","Peru","Philippines","Papua.New.Guinea","Poland","Pre.demographic.dividend","Korea..Dem..People.s.Rep.","Portugal","Paraguay","West.Bank.and.Gaza","Pacific.island.small.states","French.Polynesia","Qatar","Romania","Russian.Federation","Rwanda","Saudi.Arabia","Sudan","Singapore","Solomon.Islands","Sierra.Leone","El.Salvador","San.Marino","Serbia","Sub.Saharan.Africa..excluding.high.income.","South.Sudan","Sub.Saharan.Africa","Sao.Tome.and.Principe","Suriname","Slovak.Republic","Slovenia","Eswatini","Seychelles","Syrian.Arab.Republic","Turks.and.Caicos.Islands","Chad","East.Asia...Pacific..IDA...IBRD.countries.","Togo","Thailand","Tajikistan","Turkmenistan","Latin.America...the.Caribbean..IDA...IBRD.countries.","Timor.Leste","Tonga","South.Asia..IDA...IBRD.","Sub.Saharan.Africa..IDA...IBRD.countries.","Tunisia","Turkiye","Tuvalu","Tanzania","Uganda","Ukraine","Uruguay","United.States","Uzbekistan","St..Vincent.and.the.Grenadines","Venezuela..RB","Virgin.Islands..U.S..","Viet.Nam","Vanuatu","World","Samoa","Yemen..Rep.","South.Africa","Zimbabwe"
"1","1960",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.2269747245557,19.9138430386342,6.97381556958263,0,0,0,0,0,0,0,0,0,0,0,0,13.3305060134328,0,0,0,0,0,35.8499447024994,44.3915379906129,13.1387841021551,0,0,17.0278623527498,0,0,0,20.1363383928447,0,0,0,0,0,0,0,0,0,0,0,0,48.4297169008953,0,94.7463095335512,0,0,22.0207609495594,21.5592572364828,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.8615490061686,0,17.0713540890809,0,0,0,44.1049277249295,0,0,0,0,0,0,0,25.7475752189406,0,0,0,0,0,0,16.8899002147668,0,0,0,0,0,0,0,0,0,0,0,0,20.687159082104,31.3268021131532,41.8380195603925,0,0,0,0,0,0,0,0,0,0,0,0,43.2363906127367,0,0,0,0,0,0,0,0,0,0,24.7115632458234,0,0,3.88588809226447,0,0,0,0,0,0,0,0,0,0,28.2175206392332,34.6102115941058,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.5701172870984,16.3576527301381,0,0,0,0,0,0,0,0,0,41.6959357752132,0,0,0,0,0,0,9.19507955244028,48.4124279573637,0,18.5164920445915,0,0,0,0,0,18.9361318737149,0,0,17.3274596182085,0,0,12.8160079296246,0,0,0,0,0,0,0,0,0,0,0,0,32.4691950712114,0
"2","1961",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.81330180282074,19.8945260581446,6.79411774906471,0,0,0,0,0,0,0,0,0,0,0,0,12.2975254408832,0,0,0,0,0,35.7962805924231,31.9321593767751,13.8789745254135,0,0,18.0107513527578,0,0,0,20.3666356274042,0,0,0,0,0,0,0,0,0,0,0,0,36.4533611277762,0,62.970354229709,0,0,21.6682342490954,22.05468949655,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.1230382925298,0,16.6619876473891,0,0,0,36.1957486910778,0,0,0,0,0,0,0,27.828214716125,0,0,0,0,0,0,17.1380695104351,0,0,0,0,0,0,0,0,0,0,0,0,20.55453456,32.0433877765745,34.295988604145,0,0,0,0,0,0,0,0,0,0,0,0,35.4106377731656,0,0,0,0,0,0,0,0,29.8485744034143,0,27.0996976983854,0,0,3.44635845910062,0,0,0,0,0,0,0,7.97546012269939,0,0,27.6785327704936,35.1847837975718,13.4492223238792,0,0,0,0,0,0,0,0,0,0,0,0,0,11.8130577736026,16.8624770367839,0,0,0,0,0,0,0,0,0,38.3008356545961,0,0,0,0,0,0,9.77648558661203,36.4403476281647,0,19.1646535122982,0,0,0,0,0,19.3956894021137,0,0,17.2461752433936,0,0,12.8286334262394,0,0,0,0,0,0,0,0,0,0,0,0,32.7162367223065,0
"3","1962",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.79130917171242,19.3676452476282,7.96386176172682,0,0,0,0,0,0,0,0,0,0,0,0,11.3741577939216,0,0,0,0,0,37.6924419678074,31.3113061435209,13.9819108863633,0,0,17.8921543504908,0,0,0,20.4198806979375,0,0,0,0,0,0,0,0,0,0,0,0,35.7014843816043,0,55.7702015279319,0,0,21.6932805334099,24.7564785884948,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.8073010173549,0,17.8465506125081,0,0,0,35.1182052347818,0,0,0,0,0,0,0,29.544960240308,0,0,0,0,0,0,15.4286588458886,0,0,0,0,0,0,0,0,0,0,0,0,21.0862170157819,31.3681190634408,33.0137416374757,0,0,0,0,0,0,0,0,0,0,0,0,34.2262899988624,0,0,0,0,0,0,0,0,25.3133119837736,0,30.7818051248572,0,0,3.51969160719479,0,0,0,0,0,0,0,23.3830845771144,0,0,27.6996159215618,34.8656666700212,14.2367066895369,0,0,0,0,18.0561080795635,0,0,0,0,0,0,0,0,11.6540540540541,17.5938006563081,0,0,0,0,0,0,0,0,0,36.0309944037882,0,0,0,0,0,0,8.87296728964118,35.6887392947657,0,20.9429427190633,0,0,0,0,0,20.1158591221565,0,0,17.0610211706102,0,0,12.1167341335985,0,0,0,0,0,0,0,0,0,0,0,0,32.8530670470756,0
"4","1963",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.4694195815885,20.6236673558882,7.80459286326724,0,0,0,0,0,0,0,0,0,0,0,0,10.6134343367613,0,0,0,0,0,39.5031811315346,33.0689738043739,14.7002064215418,0,0,17.7725109223739,0,0,0,21.3559695251784,0,0,0,0,0,0,0,0,0,0,0,0,37.317147226351,0,57.0151755522958,0,0,22.1594133593675,25.0480637187586,0,0,0,0,0,0,0,22.8599221789883,0,0,0,0,0,0,0,0,0,0,0,0,0,29.6382343179555,0,17.9912237932716,0,0,0,36.714964469474,0,0,0,0,0,0,0,30.8629517793623,0,0,0,0,0,0,13.9790024866669,0,0,0,0,0,0,0,0,0,0,0,0,20.6927667976158,31.6912507018615,34.2767742441031,2.36517857142857,0,0,0,0,0,0,0,0,0,0,0,35.7979463283862,0,0,0,0,0,0,0,0,21.4120927804307,0,26.988909422176,0,0,3.61364420832955,0,0,0,0,0,0,0,24.2990654205607,0,0,26.0117723163665,35.4997189205613,15.3814935064935,0,0,0,0,17.9951004713471,0,0,0,0,0,0,0,0,12.8799149840595,18.7789248843005,0,0,0,0,0,0,0,0,0,34.9741961095673,0,0,0,0,0,0,9.37983788893364,37.3038253634032,19.7530722229897,21.0270025450935,0,0,0,0,0,20.2371131463687,0,0,16.9527896995708,0,0,13.3918217727277,0,0,0,0,0,0,0,0,0,0,0,0,33.2774409905843,0
"5","1964",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.7934373721091,20.0814430026433,10.4230244561503,0,0,0,0,0,0,0,0,0,0,0,0,13.4939379625256,0,0,0,0,0,40.2741834673024,35.3289339410844,16.0638070917514,0,0,17.8021954522406,0,0,0,21.7227402336079,0,0,0,0,0,0,0,0,0,0,0,0,39.7619877865496,0,60.5070120571963,0,0,23.7626962629612,25.040293040293,0,0,0,0,0,0,0,23.6510791366906,0,0,0,0,0,0,0,0,0,0,0,0,0,31.6262353998203,0,17.8118161925602,0,0,0,38.1058956231205,0,0,0,0,0,0,0,31.4020558315457,0,0,0,0,0,0,15.4723912808443,0,0,0,0,0,0,0,0,0,0,0,0,20.3913657898114,31.6683280804758,36.1211091075486,3.67196765498652,0,0,0,0,0,0,0,0,0,0,0,37.1805839700828,0,0,0,0,0,0,0,0,30.2410705784453,0,29.419827775742,0,0,3.59934388238874,0,0,0,0,0,0,0,23.9819004524887,0,0,26.770492878104,34.8819048431074,15.7006603081438,0,0,0,0,18.4071950555858,0,0,0,0,0,0,0,0,12.970624741415,21.2516440157825,0,26.5268743054671,0,0,0,0,0,0,0,36.0863095238095,0,0,0,0,0,0,9.86668532864064,39.7477931390163,20.3124880202256,21.7000284229085,0,0,0,0,0,19.9001988906945,0,0,17.8926441351889,0,0,12.0795074382518,0,0,0,0,0,0,0,0,0,0,0,0,34.192037470726,0
"6","1965",0,0,0,0,0,0,0,0,0,48.4144764220088,0,0,0,0,0,0,0,7.98184938137773,18.696338961347,10.723024748933,0,0,0,0,0,0,0,0,0,0,0,0,19.2073170731707,0,0,0,0,0,39.8728344680608,35.0922722029988,15.9272399172053,20.3007465683006,0,18.9300393148067,27.3789842613411,0,0,23.0342358134537,0,0,0,0,0,0,0,0,0,0,21.1032622452427,0,39.6851797551216,31.4513023927607,63.0048159434753,0,0,23.8235905551942,24.0697417788568,0,0,0,0,0,0,0,22.6883561643836,0,0,0,0,18.6221009549795,0,0,0,0,0,0,17.0454571913367,0,31.3931034482759,0,17.4284871719257,0,0,0,39.3390688433724,0,0,0,0,0,0,0,32.8271292372027,0,0,0,0,17.6937441643324,0,16.6666713430615,0,0,0,0,0,0,0,0,0,0,0,0,21.5525265462642,32.3152862313705,37.2207060396612,5.21301020408163,0,0,0,0,0,27.5469168900804,0,0,0,0,25.6495604395604,38.4157627734063,0,0,0,0,0,0,0,0,37.2231944784459,0,29.629861878453,0,0,3.47182309676041,0,0,0,10.8532668842068,0,0,0,23.4513274336283,0,0,26.3730725976802,34.4474099590892,17.8978197201432,0,0,0,0,18.1295534244615,0,0,0,0,0,0,6.85349285665227,0,11.9690353314807,22.151092639764,0,26.8406700428516,23.1417764207264,0,0,0,0,0,0,37.0742783003568,0,0,31.4741035856574,0,0,0,11.1683836949808,39.6710125273174,22.0689701146647,22.8853351691201,0,0,49.6936560953885,0,0,20.4049184156656,0,19.2196809532962,19.3129062209842,0,0,12.6622348844571,0,0,0,0,0,0,0,0,0,0,0,0,35.1687198714515,27.7878718882007
"7","1966",0,0,0,0,0,0,0,0,0,49.605814661101,0,0,0,0,0,0,0,11.306612935673,19.0215650519734,10.3150855684753,0,0,0,0,0,0,0,0,0,0,0,0,14.3631436314363,0,0,0,0,0,39.2085247232927,37.8779054376026,17.8855294960898,20.6599715822473,0,19.7416974169742,26.1226717609333,0,0,22.8570106733052,0,0,0,0,0,0,0,0,0,28.546251217539,24.1163444455737,0,42.3151845692584,31.8127620057738,65.7207244752897,0,0,25.3221286208196,23.9929660982293,0,0,0,0,0,0,0,22.4728487886383,0,0,0,0,18.3794466403162,0,8.29639012032932,0,0,0,0,17.8334148270655,0,31.6872427983539,0,17.137921629239,0,0,0,40.3439396085804,0,0,0,0,0,0,0,33.5632308867124,0,0,0,0,18.4255319148936,0,16.280353897529,0,0,0,0,0,0,0,0,0,0,0,0,20.3183267122466,31.6033852832246,38.0077895513993,6.72765432098765,0,0,0,0,0,29.0533113492718,0,0,0,0,26.2379605263158,39.2429547372282,0,0,0,0,0,0,0,0,40.2556285764775,0,29.6451854930895,0,0,3.72060866940364,0,0,0,9.03169752404986,0,0,0,25.6198347107438,0,0,26.4434612285671,34.2832933730267,20.3380120309367,0,0,0,0,18.7051378147252,0,0,0,0,0,0,6.77037323516641,0,15.3801508995937,22.2351328804672,0,24.9440715883669,24.842929684138,0,0,0,0,0,0,43.6564223798266,0,0,30.0546448087432,0,0,0,12.3955617610233,42.3000784550095,22.0338977399988,22.5055554922633,0,0,48.4426216576757,0,0,19.7322413979855,0,19.2680695333943,19.6217494089835,0,0,11.679273827534,0,0,0,0,0,0,0,0,0,0,0,0,34.765047778544,27.0140928473153
"8","1967",0,0,0,0,0,0,0,0,0,47.3834143823114,0,0,0,0,0,0,0,11.4130625066297,22.0883134380454,8.10282841164145,0,0,0,0,0,0,0,0,0,0,0,0,14.9823422395034,0,0,0,0,0,39.7462207099781,33.8869691227288,18.8813802733618,20.1042127174263,0,19.8630170998317,27.9927577392786,0,0,23.0820686013494,0,0,0,0,0,0,0,0,0,28.1412058369195,26.2510152686509,0,38.550708512406,30.2074392031904,54.7503762633479,0,0,24.6319110223745,23.8085845037084,0,0,0,0,0,0,0,23.0886850152905,0,0,0,0,20.4787234042553,0,8.34305717619603,0,0,0,0,18.5598142414861,0,32.518222431225,0,18.9098812907541,0,0,0,37.4591604379416,0,0,0,0,0,0,0,35.1854983614153,0,0,0,0,15.2482269503546,0,17.4670604270786,0,0,0,0,0,0,0,0,0,0,0,0,19.9937191767179,30.7978756803843,35.4729154975949,11.8008504606662,0,0,0,0,0,28.5352880124546,0,0,0,0,26.9716265060241,36.4965072973469,0,8.81633849547724,0,0,0,0,0,0,38.9433270120468,0,29.3136150379021,0,0,4.43374906166745,0,0,0,9.82073250474306,0,0,0,52.5773195876289,0,0,27.7415085592704,34.9034149421182,19.8529361427647,0,0,0,0,19.4538234772943,0,0,0,0,0,0,9.74680261066403,0,14.7221725924602,22.9557508113671,0,26.1480601741884,24.6506863347675,0,0,0,0,0,0,45.2424105120072,0,0,33.8951310861423,0,0,0,12.7654924552637,38.5369462799334,23.333332807382,24.9574526766278,0,0,45.2228662607113,0,0,18.4223314023888,0,20.1929824561404,20.4545454545455,0,0,11.5212042263714,0,0,0,0,0,0,0,0,0,0,0,0,33.3864259800018,28.036523927668
"9","1968",0,0,0,0,0,0,0,0,0,47.0360652886282,0,0,0,0,0,0,0,10.8688139498865,22.7190982357839,9.26234551475759,0,0,0,0,0,0,0,0,0,0,0,0,12.4210526315789,0,0,0,0,0,41.1753506872196,31.1106014563385,16.2988642895592,19.4980647890611,0,19.2926045016077,27.4237399847583,0,0,23.9881409871485,0,0,0,0,0,0,0,0,0,27.6231090202894,24.7986830692244,0,35.1791746506713,30.2670561569073,47.0249620284942,0,0,25.0430559683031,22.7294210319023,0,0,0,0,0,0,0,22.7023319615912,0,0,0,0,20.3529411764706,0,8.33819241982507,0,0,0,0,18.6573610679913,0,34.4722524483134,0,19.5964749536178,0,0,0,36.2846927856865,0,0,0,0,0,0,0,36.3029454808497,0,0,0,0,21.5568862275449,0,17.6611768600513,0,0,0,0,0,0,0,0,0,0,0,0,21.4572284754618,31.4645713254785,34.4610432180304,10.3465481886535,0,0,0,0,0,28.1002718212021,0,0,0,0,27.4052861035422,35.472256540032,0,10.3448880788603,0,0,0,0,0,0,40.1537000201137,0,27.9060539480137,0,0,4.8549859648773,0,0,0,10.0794643780994,0,0,0,73.8246505717916,0,0,27.6833185767551,34.0100968062073,18.5364684818863,0,0,0,0,18.78418986876,0,0,0,0,0,0,9.49477310739886,62.0429848030191,14.3786374529271,23.8635322151957,0,27.7572639995926,24.6276318503771,0,0,0,0,0,0,46.1984669567019,0,0,32.6315789473684,0,0,0,13.886535514444,35.1666160233874,21.8697834723588,24.9057208928514,0,0,45.2644243141669,0,0,19.0474786851453,0,20.2603104908264,21.4603174603175,0,0,12.3751686909582,0,0,0,0,0,44.6369172849075,0,0,0,0,0,0,33.4041857423152,28.2299153980748
"10","1969",0,0,0,0,0,0,0,0,0,47.3861283042889,0,0,0,0,0,0,0,11.0630654417435,22.44425758866,9.18640400926977,0,0,0,0,0,0,0,0,0,0,0,0,19.5319531953195,0,0,0,0,0,42.7705134433602,35.4194271735807,15.4280867450899,19.4337678578519,0,19.4484873430986,27.5168265788343,0,0,23.9297645760656,0,0,0,0,0,0,0,0,0,26.9227432466435,25.5884772043885,0,38.9852063475105,30.7513893106095,50.8750689973759,0,0,25.6604756202432,24.1186075855415,0,0,0,0,0,0,0,21.1550533584432,0,0,0,0,19.1404297851074,0,8.34218916046759,0,0,0,0,19.0636247559534,0,34.8776574408343,0,20.0673637674129,0,0,0,38.0834111851429,0,0,0,0,0,0,0,38.5389825608941,0,0,0,0,18.7900641025641,0,18.0435826053566,0,0,0,0,0,0,0,0,0,0,0,0,23.2755748353997,32.4972794172228,36.381656029572,11.3240662139219,0,0,0,0,0,27.6421884301099,0,0,0,0,27.9119704433498,37.5205856069811,0,10.0471685344441,0,0,0,0,0,0,40.6290716614304,0,29.2023408807274,0,0,5.24452883712349,0,0,32.9030473151265,10.3569193532488,0,0,0,77.2,0,0,28.2587424955593,33.6215619636187,18.4681099017106,0,0,0,0,19.1205969212332,0,0,0,0,0,0,9.38632566351855,61.1116633640641,13.5706513290844,24.6688839470214,0,26.2497247302356,25.0200114351058,0,0,0,0,0,0,45.3880223377624,0,0,27.4900398406374,0,0,0,12.8174106656185,38.9712890034862,21.264367816624,24.9366318766508,0,0,45.9801540407929,0,0,19.8588992617472,0,21.4707619610159,22.0890410958904,0,0,12.8069965256979,0,0,0,0,0,41.9456387874598,0,0,0,0,0,0,33.776808433297,28.3608261058303
